Company,Founded,City,Domain,Description,Founders,Investors,Amount,Stage
Rooter,2016,New Delhi,Gaming,"['Rooter', 'India', 'Leading', 'Game', 'Streaming']","Piyush Kumar, Dipesh Agarwal","Lightbox, March Gaming, Duane Park",25000000,Series A
Rulezero,2019,Bengaluru,FinTech,"['Rulezero', 'legal', 'fintech', 'startup', 'reimagining']","Satish Mugulavalli, Srinivas Katta",The Treasury,2500000,Seed
RuleZero,2019,Bengaluru,Technology,"['startup', 'Rulezero', 'technology', 'platform', 'created']","Satish Mugulavalli, Srinivas Katta","Induslaw, Reddy Futures",1000000,Seed
Runo,2019,Secunderabad,Computer Software,"['Runo', 'delivers', 'functionalities', 'function', 'Customer']","Rajsekhar Pattnaik, PV Vamsi",Unicorn India Ventures,500000,Pre-series A
Rupeek,2015,Bengaluru,FinTech,"['Rupeek', 'India', 'leading', 'asset', 'backed']",Sumit Maniyar,Lightbox,34000000,Undisclosed
RupeeRedee,2018,Gurugram,FinTech,"['RupeeRedee', 'division', 'Digital', 'Finance', 'International']",Jitin Bhasin,Digital Finance International,1100000,Series B
Rupifi,2020,Bengaluru,FinTech,"['Building', 'Financial', 'Solutions', 'B2B', 'Transactions']","Anubhav Jain, Ankit Singh, Jawaid Iqbal","Venture Partners, Tiger Global",25000000,Series A
Rupifi,2019,Bengaluru,FinTech,"['Rupifi', 'operates', 'software', 'service', 'SaaS']",Anubhav Jain,Quona Capital,4100000,Pre-series A
Rupifi,2020,Bengaluru,FinTech,"['Embedded', 'Lending', 'Small', 'Businesses']","Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,1000000,Debt
Ruptok,2020,New Delhi,FinTech,"['Ruptok', 'operates', 'fintech', 'platform', 'gold']","Ankur Gupta, Akshita Gupta, Yashwardhan Aeren",Wurk,10000000,Undisclosed
Ruptok,2020,New Delhi,FinTech,"['Ruptok', 'fintech', 'Pvt', 'Ltd.', 'online']",Ankur Gupta,Eclear Leasing,1000000,Undisclosed
Ruptok Fintech,2020,New Delhi,FinTech,"['Ruptok', 'fintech', 'Pvt', 'Ltd.', 'online']",Ankur Gupta,Manuvel Malabar Jewellers,2000000,Pre-series A
RuskMedia,2019,New Delhi,Digital Media,"['content', 'Rusk', 'Media', 'studio', 'distributes']",Pankaj Yadav,Audacity Venture Capital and Mistry Ventures,11900000,Series A
Saarthi Pedagogy,2015,Ahmadabad,EdTech,"['India', 'fastest', 'growing', 'Pedagogy', 'company']",Pedagogy,"Sushil Agarwal,  JITO Angel Network LetsVenture ",1000000,Undisclosed
SaaS Labs,2016,Noida,Software,"['Building', 'high', 'impact', 'communication', 'workflow']",Gaurav Sharma,"Base 10 Partners, Eight Roads Ventures",17000000,Series A
SaaS Labs,2016,Noida,Software,"['Building', 'high', 'impact', 'communication', 'workflow']",Gaurav Sharma,Sequoia Capital,42000000,Series B
Safex Chemicals,1991,New Delhi,AgriTech,"['Safex', 'Chemicals', 'India', 'Ltd', 'leading']","SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,50000000,Undisclosed
Safexpay,2017,Thane,FinTech,"['SafexPay', 'set', 'aim', 'build', 'digital']",Ravi Gupta,"T Choithrams BVI, Ardor",6000000,Undisclosed
Sahicoin,2021,Gurugram,FinTech,"['Sahicoin', 'aims', 'empower', 'billion', 'crypto']","Ankush Rajput, Amit Nayak, Melbin Thomas","Alameda Ventures, Better Capital Ventures",1750000,Seed
SalaryBox,2020,Gurugram,FinTech,"['SalaryBox', 'solution', 'makes', 'employee', 'management']","Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000,Seed
SALT,2019,Bengaluru,FinTech,"['Salt', 'neo', 'banking', 'experience', 'created']","Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",500000,Pre-seed
Samaaro,2020,Bengaluru,Software,"['virtual', 'Samaaro', 'event', 'platform', 'designed']","Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",125000,Undisclosed
Samudai,2021,Singapore,Information Technology,"['Samudai', 'organizes', 'information', 'provides', 'tools']","Kushagra Agarwal, Navin",Sino Global Capital and Devfolio,2500000,Pre-seed
Samunnati,2014,Chennai,AgriTech,"['financial', 'Samunnati', 'specialized', 'agriculture', 'value']",Anil Kumar,"U.S. International Development Finance Corp, responsAbility",10000000,Debt
Sanctum Wealth,2016,Mumbai,Investment Banking,"['Sanctum', 'Indian', 'wealth', 'management', 'firm']",Shiv Gupta,The Xander Group,10000000,Undisclosed
SandLogic,2018,Bengaluru,Computer Software,"['AI', 'SandLogic', 'SL', 'Enterprise', 'company']","Kamalakar Devaki, Jesudas Fernandes, Radhika Kanigiri, Ravi Kumar Rayana","Sanjay Singhania, Sai Kumar",4000000,Pre-series A
Sanfe,2018,New Delhi,Healthcare,"['India', 'revolutionary', 'feminine', 'hygiene', 'period']","Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",1000000,Series A
Sapio Analytics,2019,Mumbai,Computer Software,"['Aim', 'provide', 'intelligent', 'AI', 'powered']","Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000,Undisclosed
SarvaGram,2019,Mumbai,FinTech,"['SarvaGram', 'provides', 'livelihood', 'upgradation', 'aspiring']","Utpal Isser, Sameer Mishra",Elevation Capital,10000000,Series B
SatSure,2017,Bengaluru,Defense & Space,"['SatSure', 'innovative', 'decision', 'analytics', 'company']","Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju","Baring PE India, ADB Ventures",5000000,Pre-series A
SATYA MicroCapital,2017,New Delhi,Banking,"['Satya', 'MicroCapital', 'Limited', 'Delhi', 'based']",Vivek Tiwari,"responsAbility Investments, Blue Orchard",10000000,Undisclosed
SATYA MicroCapital,2017,New Delhi,FinTech,"['Satya', 'MicroCapital', 'micro', 'finance', 'company']",Vivek Tiwari,"BlueOrchard Finance S A, Gojo & Company",20000000,Undisclosed
Savart,2017,Hyderabad,FinTech,"['Savart', 'wealth', 'management', 'platform', 'assists']",Sankarsh C,BEENEXT and 9Unicorns Accelerator Fund,2100000,Seed
Saveo,2019,Bengaluru,Healthcare,"['business', 'Saveo', 'operates', 'e', 'commerce']","Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global",4000000,Seed
Scaler,2019,Bengaluru,E-Learning,"['Scaler', 'devoted', 'creating', 'growth', 'ecosystem']",Abhimanyu Saxena,Lightrock India,55000000,Undisclosed
Scentials,2018,Mumbai,Beauty,"['Scentials', 'building', 'unique', 'beauty', 'brands']","Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu",6000000,Undisclosed
Scripbox,2012,Bengaluru,FinTech,"['Scripbox', 'India', 'leading', 'digital', 'wealth']","Ashok Kumar, Sanjiv Singhal","Accel Partners, Transpose Platform, the Sparkle Fund",21000000,Series D
Scripbox,2012,Bengaluru,FinTech,"['Scripbox', 'online', 'mutual', 'funds', 'investment']","Ashok Kumar, Atul Shinghal, Sanjiv Singhal, Varun Girilal",Wealth Managers,5500000,SeriesD
Scrut Automation,2021,Bengaluru,Information Technology,"['Scrut', 'Provides', 'deepest', 'cloud', 'integration']","Ayush Ghosh Choudhury, Kush Kaushik","Lightspeed, Endiya Partners",3000000,Undisclosed
Sea6 Energy,2010,Bengaluru,Biotechnology,"['Sea6', 'Energy', 'envisions', 'future', 'abundant']","Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,9000000,Series B
Securden,2018,Delaware,Artificial Intelligence,"['Securden', 'Windows', 'Privilege', 'Management', 'Software']","Balasubramanian Venkatramani, Kumaran Balan",Accel and Tiger Global Management,11700000,Series A
SecureNow,2011,Gurugram,Insurance,"['SecureNow', 'award', 'winning', 'tech', 'enabled']","Kapil Mehta, Abhishek Bondia",Apis Insurtech Fund I,6000000,Series B
Seekho.ai,2021,Gurugram,E-Learning,"['Seekho', 'India', 'micro', 'learning', 'based']","Divya Jain, Ajeet Singh Kushwaha, Arihant Jain","LetsVenture, Trica, Super Morpheus",3000000,Pre-Series A
SeeVC,2020,New Delhi,Technology,"['Leverages', 'artificial', 'intelligence', 'AI', 'build']","Shivam Sood, Lark Aakarshan",Jimmy Singh,1000000,Seed
Servify,2015,Mumbai,Consumer Services,"['Servify', 'self', 'learning', 'platform', 'provides']",Sreevathsa Prabhakar,Singularity Growth Opportunities Fund and BEENEXT,114400000,Series D
Settl,2020,Bengaluru,Real Estate,"['Settl', 'technology', 'driven', 'accommodation', 'platform']","Abhishek Tripathi, Bharath Bhaskar, Ashok Reddy","ah! Ventures, We Founder Circle",500000,Seed
Shadez,2019,Mumbai,Consumer Services,"['process', 'painting', 'Smart', 'latest', 'automatic']","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,200000,Pre-series A
ShareChat,2015,Bengaluru,Social Media,"['ShareChat', 'social', 'networking', 'regional', 'content']","Ankush Sachdeva, Bhanu",Multiples,1400000000,Undisclosed
ShareChat,2015,Bengaluru,Social Media,"['ShareChat', 'social', 'networking', 'regional', 'content']","Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000,Undisclosed
Shiprocket,2012,New Delhi,Logistics,"['1', 'eCommerce', 'India', 'Logistics', 'Shipping']","Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital",41000000,Series D1
Shipskart,2017,New Delhi,Maritime,"['ShipsKart', 'stop', 'shop', 'marine', 'needs']","Dhruv Sawhney, Sunny Bagla, Vivek Sahi","Trail Mix Ventures, Hermes Offshore",2700000,Series A
Shipsy,2015,Gurugram,Computer Software,"['logistics', 'end', 'Empower', 'organizations', 'handling']","Soham, Himanshu Gupta, Dhruv Agrawal, Sahil Arora, Harsh Kumar","A91 Partners, Z3 Partners",25000000,Series B
ShopMyLooks,2021,Noida,Digital media,"['ShopMyLooks', 'turns', 'social', 'media', 'photos']",Rohit Jaiswal,"Capital A, Collective Artists Network",200000,Undisclosed
ShopSe,2020,Mumbai,FinTech,"['purchases', 'online', 'neighborhood', 'store', 'easy']","Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000,Undisclosed
Shri Chyawan,2018,Raipur,Retail,"['Shri', 'Chyawan', 'Ayurved', 'offers', 'herbal']",Devkar Saheb,Vibhor Kanodia and Dhaval Shah,15300000,Seed
Shyplite,2016,New Delhi,Logistics,"['Enable', 'E', 'retailers', 'automate', 'logistics']","Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital,1000000,Undisclosed
SIDBI Venture Capital,1999,Mumbai,Venture Capital and Private Equity ,"['investment', 'management', 'company', 'wholly', 'owned']",Debashis Ghosh,Ubharte Sitaare Fund,60000000,Undisclosed
Signzy,2015,Hyderabad,FinTech,"['Signzy', 'AI', 'powered', 'FinTech', 'company']","Ankit Ratan, Ankur Pandey, Arpit Ratan",Arkam Ventures and Vertex Ventures,38400000,Series B
Simpl,2015,Bengaluru,Consumer Services,"['Simpl', 'empowers', 'merchants', 'build', 'trusted']","Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000,Series B
SimpliContract,2020,Bengaluru,Software,"['end', 'SimpliContract', 'Enterprise', 'SaaS', 'offering']","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000,Seed
Siply,2020,Bengaluru,FinTech,"['tech', 'enabled', 'micro', 'savings', 'platform']","Sousthav Chakrabarty, Anil Bhat","LetsVenture, AngelList India, Founder's Room Circle",3200000,Pre-series A
Siply,2020,Bengaluru,FinTech,"['Siply', 'Services', 'operates', 'micro', 'savings']",Sousthav Chakrabarty,Inflection Point Ventures,1000000,Seed
Sirona Hygiene,2015,New Delhi,Healthcare,"['award', 'winning', 'brand', 'committed', 'solving']",Deep Bajaj,The Good Glamm Group,10000000,Undisclosed
Sirona Hygiene,2015,New Delhi,Healthcare,"['Solving', 'unaddressed', 'Intimate', 'Menstrual', 'Hygiene']","Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000,Series A
SK Finance,1994,Jaipur,FinTech,"['SK', 'Finance', 'leading', 'player', 'vehicle']",Rajendra Setia,"IIFL Wealth, TPG Growth, Norwest Venture Partners",53000000,Series F
Skeps,2018,Gurugram,FinTech,"['blockchain', 'products', 'company', 'developing', 'proprietary']","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000,Undisclosed
Skillmatics,2016,Mumbai,EdTech,"['school', 'Skillmatics', 'develops', 'learning', 'games']",Dhvanil Sheth,Sequoia Capital India,6000000,Series A
Skillmatics,2016,Mumbai,EdTech,"['school', 'Skillmatics', 'provides', 'education', 'products']","Devanshi Kejriwal, Dhvanil Sheth",Sequoia Capital India and Sofina,23,Series B
SkilloVilla,2020,Bengaluru,EdTech,"['Mission', 'support', 'young', 'graduates', 'enhancing']","Ronak Agrawal, Rajat Agrawal, Deepak Kharol",Titan Capital,300000,Seed
Skippi Ice Pops,2021,Hyderabad,Food Production,"['India', 'Icepops', 'Brand']",Ravi Kabra,Shark Tank India,130000,Undisclosed
Skit,2016,Bengaluru,Artificial Intelligence,"['Enabling', 'enterprises', 'automate', 'contact', 'centre']","Sourabh Gupta, Akshay Deshraj",WestBridge Capital,23000000,Series B
Skylark Drones,2014,Bengaluru,Aviation,"['Enterprise', 'drone', 'solutions', 'help', 'plan']",Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund",3000000,Pre-series A
Skymet,2003,Noida,Enviroment,"['Provide', 'services', 'allow', 'clients', 'understand']",Yogesh Patil,"Northern Arc, Caspian Impact Investments",1000000,Undisclosed
SleepyCat,2017,Mumbai,Furniture,"['sleep', 'online', 'solutions', 'company', 'believes']",Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",3800000,Undisclosed
Slice,2015,Bengaluru,FinTech,"['Slice', 'India', 'best', 'credit', 'card']","Rajan Bajaj, Siva Kumar Tangudu","Tiger Global, Insight Partners",220000000,Series B
Slice,2016,Bengaluru,FinTech,"['Slice', 'India', 'best', 'credit', 'card']",Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000,Undisclosed
Slice,2016,Bengaluru,FinTech,"['Slice', 'India', 'best', 'credit', 'card']",Rajan Bajaj,"Gunosy, Blume Ventures",20000000,Undisclosed
Slice,2010,New York,Food & Beverages,"['Slice', 'provider', 'tools', 'pizzerias', 'manage']",Iler Sela,Kohlberg Kravis Roberts and Dick Costolo,125000000,Series D
Smallcase,2015,Bengaluru,FinTech,"['Smallcase', 'new', 'way', 'invest', 'stock']","Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000,Series C
Smart Express,2018,Mumbai,Logistics,"['India', 'Innovative', 'Awarded', 'Express', 'Logistics']",Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000,Seed
Smart Joules,2014,New Delhi,Environment,"['Smart', 'Joules', 'energy', 'management', 'company']","Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000,Undisclosed
SmartCoin,2016,Bengaluru,FinTech,"['India', 'Preferred', 'Instant', 'Loan', 'App']","Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",10000000,Undisclosed
Smartstaff,2020,Bengaluru,Recruitment,"['Smartstaff', 'previously', 'Qikwork', 'stack', 'blue']","Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners",4300000,Undisclosed
Smytten,2015,Gurugram,Consumer Goods,"['India', 'largest', 'premium', 'discovery', 'trial']","Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000,Series A
Snapmint,2015,Mumbai,FinTech,"['Snapmint', 'eliminating', 'dependency', 'Credit', 'Card']","Nalin Agrawal, Anil Gelra, Abhineet Sawa, Rahul Agarwal","Negen Capital, Ramakant Sharma, Usama Fayyad",9000000,Series A
Snooplay,2019,New Delhi,Marketplace,"['online', 'marketplace', 'leverages', 'AI', 'striving']",Aanchal Mahajan,Amogh Kmar Gupta,535000,Seed
Social Swag,2020,Mumbai,E-Learning,"['platform', 'infinite', 'possibilities', 'favourite', 'celebrities']","Rana Daggubati, Akshay Kumar","IMEF, Unicorn India Ventures",3500000,Undisclosed
Solar Square,2015,Mumbai,CleanTech,"['SolarSquare', 'Energy', 'solar', 'energy', 'solutions']",Shreya Mishra,Akhil Gupta and Lowercarbon Capital,30800000,Seed
SolarSquare Energy,2015,Mumbai,Environment,"['solar', 'SolarSquare', 'Energy', 'residential', 'company']",Shreya Mishra,Lowercarbon Capital and Vidit Aatrey,12000000,SeriesA
Solethreads,2018,Gurugram,Fashion ,"['SOLETHREADS', 'India', 'footwear', 'brand', 's']",Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000,Series A
Soothe Healthcare,2012,New Delhi,Consumer Goods,"['Soothe', 'consumer', 'goods', 'company', 'engaged']",Sahil Dharia,A91 Partners,10000000,Series C
Soothe Healthcare,2012,Noida,Healthcare,"['Healthcare', 'Soothe', 'engaged', 'manufacturing', 'marketing']",Sahil Dharia,Sixth Sense Ventures and A91 Partners,38700000,Undisclosed
Soptle,2021,Gurugram,Software,"['India', 'SaaS', 'Led', 'B2B', 'Retail']",Pravas Chandragiri,Vaishnav Shetty and Ankur Aggarwal,300000,Angel
Sourcewiz,2020,Gurugram,Software,"['Sourcewiz', 'provides', 'platform', 'digitalise', 'operations']","Divyaanshu Makkar, Mayur Bhangale, Vikas Garg",Matrix Partners India and Wami Capital,5500000,Undisclosed
Sourcewiz,2021,Gurugram,Information Technology,"['Building', 'platform', 'exporters', 'digitize', 'workflows']","Divyaanshu Makkar, Vikas, Mayur","Blume, Alpha Wave Incubation",3000000,Seed
SP Robotic Works,2012,Chennai,EdTech,"['innovative', 'place', 'explore', 'generation', 'technologies']","Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000,Series A
Spacejoy,2019,Bengaluru,Design,"['Building', 'future', 'home', 'designs', 'weaving']","Arnab Saharoy, Vinay Indresh",Accel Partners,4000000,Pre-series A
Spardha,2016,Pune,EdTech,"['Spardha', 'School', 'Music', 'Academy', 'Online']","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000,Pre-series A1
Spare8,2021,Mumbai,FinTech,"['Spare8', 'micro', 'investment', 'app', 'India']","Ronit Harisingani, Shardul Saiya",Ajay Adiseshann and MAGIC Fun,6000000,Pre-seed
SpeedLabs,2015,Mumbai,Edtech,"['SpeedLabs', 'provide', 'notch', 'technology', 'based']",Vivek Varshney,Mumbai Angels and Ecosystem Ventures,143100000,Undisclosed
Spinny,2015,Gurugram,Automotive,"['end', 'Spinny', 'new', 'age', 'car']","Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global",248000000,Series E
Spinny,2015,Gurugram,Automotive,"['end', 'Spinny', 'new', 'age', 'car']","Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000,Series D
Spinny,2015,Gurugram,Retail,"['Spinny', 'car', 'buying', 'platform', 'enabling']","Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000,Series C
Spinny,2015,Gurgaon,FinTech,"['Spinny', 'car', 'buying', 'platform', 'enabling']","Ganesh Pawar, Mohit Gupta",Multiples,513500000,Undisclosed
Spintly,2017,Goa,Technology,"['Wireless', 'cloud', 'based', 'access', 'control']",Rohin Parkar,Riso Capital,500000,Undisclosed
SplashLearn,2018,Gurugram,EdTech,"['SplashLearn', 'EdTech', 'startup', 'company', 'providing']","Arpit Jain, Joy Deep Nath, Mayank Jain, Umang Jain","Accel, Owl Ventures",18000000,Series C
Sploot,2019,Gurugram,Consumer Goods,"['Sploot', 'community', 'led', 'platform', 'better']","Arnav Sahni, Garima Kaushal",Redstart Labs,50000000,Seed
Sporjo,2020,Mumbai,SportsTech,"['stop', 'destination', 'build', 'successful', 'career']",G Srinivvasan,Punit Balan,2000000,Undisclosed
Sporjo,2020,Mumbai,SportsTech,"['stop', 'destination', 'build', 'successful', 'career']",G Srinivvasan,Punit Balan,2000000,Pre-series A
SportZchain,2021,Mumbai,SportsTech,"['SportZchain', 'India', 'blockchain', 'based', 'platform']",Siddharth Jaiswal,"Darq Capital, Jagadeesh Atukuri",400000,Pre-seed
Spottabl,2017,Bengaluru,Human Resources,"['Spottabl', 'technology', 'driven', 'recruitment', 'platform']","Vanishri Deshpande, Satheesh K V, Anupam Choudhari","LetsVenture, Paradigm Shift VC, Binny Bansal",400000,Seed
Sprinto,2020,Bengaluru,Computer Software,"['Sprinto', 'helps', 'SaaS', 'companies', 'SOC-2']","Girish Redekar, Raghuveer Kancherla",Elevation Capital,10000000,Series A
Spry,2021,Mumbai,Music,"['BEST', 'ROYALTY', 'FREE', 'MUSIC', 'CREATE']","Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",1500000,Seed
Spyne,2018,Gurugram,Software,"['Spyne', 'Deep', 'Tech', 'startup', 'helping']","Deepti Prasad, Sanjay Kumar",Pentathlon Ventures and Core91 Fund,7000000,Series A
Square Yards,2014,Gurugram,Real Estate,"['India', 'largest', 'tech', 'enabled', 'Real']",Tanuj Shori,ADM Capital,25000000,Undisclosed
SSA Finserv,2019,Mumbai,FinTech,"['Small', 'businesses', 'focused', 'non', 'banking']",Vikas Agarwal,Blue Ashva Capital,3000000,Undisclosed
Stack,2020,Bengaluru,FinTech,"['money', 'Stack', 'investing', 'platform', 'set']","Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",4500000,Seed
StackBOX,2016,Bengaluru,Logistics,"['DISTRIBUTION', 'SIMPLIFIED']","Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",1200000,Undisclosed
StanPlus,2016,Hyderabad,Healthcare,"['Provide', 'hospitals', 'enterprises', 'tech', 'solutions']","Prabhdeep Singh, Antoine Poirson, Jose Leon","HealthQuad, Kalaari Capital, HealthX Capital",20000000,Series A
Stanza Living,2017,New Delhi,Hospitality,"['living', 'India', 'largest', 'managed', 'ecosystem']","Anindya Dutta, Sandeep Dalmia","Kotak Mahindra Bank, RBL Bank",57000000,Undisclosed
Statiq,2020,Gurugram,Automotive,"['charging', 'Statiq', 'electric', 'vehicle', 'network']","Akshit Bansal, Raghav Arora",Shell Ventures and Y Combinator,28200000,Series A
StayVista,2015,Mumbai,Hospitality,"['StayVista', 'South', 'Asia', 'largest', 'luxury']","Amit Damani, Ankita Sheth, Pranav Maheshwari",Capri Global Capital and DSG Consumer Partners,71000000,Undisclosed
Stelis Biopharma,2007,Bengaluru,Biotechnology,"['Stelis', 'Biopharma', 'vertically', 'integrated', 'biopharmaceutical']",Pudhucode Radhakrishnan Kannan,"RouteOne, Mankekar Family Office",195000000,Series B
Sterling Accuris Wellness,2016,Ahmedabad,Healthcare,"['STERLING', 'ACCURIS', 'WELLNESS', 'PRIVATE', 'LIMITED']",Girish Patel,Morgan Stanley Private Equity Asia,30000000,Undisclosed
Stockal,2016,New York,FinTech,"['Stockal', 'platform', 'cross', 'border', 'savings']","Rajan K Natarajan, Sitashwa Srivastava, Vinay Bharathwaj",Hashed and A'Z Angels,14800000,Series A
StockGro,2020,Bengaluru,FinTech,"['Making', 'Investment', 'Social-', 'India', 'Social']",Ajay Lakhotia,"BITKRAFT Ventures, General Catalyst, Itai Tsiddon",32000000,Series A
StockGro,2020,Bengaluru,FinTech,"['Making', 'Investment', 'Social-', 'India', 'Social']",Ajay Lakhotia,"Roots Ventures, Velo Partners",5000000,Pre-series A
Storia,2016,Mumbai,Food & Beverages,"['Storia', 'Foods', 'Beverages', 'committed', 'creating']",Vishal Shah,Sixth Sense Ventures,6000000,Series A
Strata,2019,Bengaluru,Real Estate,"['Strata', 'innovative', 'tech', 'driven', 'platform']","Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000,Series A
Strawcture Eco,2018,New Delhi,Building Materials,"['Strawcture', 'Eco', 'Green', 'building', 'material']",Shriti Pandey,"Social Alpha, Villgro Innovations Foundations, Brigade REAP",375000,Seed
Strip Finance,2021,Hyderabad,FinTech,"['Collateralised', 'NFT', 'DeFi', 'Liquidity', 'Protocol']","Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",400000,Seed
Studio Sirah,2020,Bengaluru,Gaming,"['Studio', 'Sirah', 'founded', 'belief', 'increasing']","Abhaas Shah, Prateek Shah",Lumikai,800000,Undisclosed
Stylework,2017,Gurugram,Co-working,"['Stylework', 'unconventional', 'co', 'working', 'space']",Sparsh Khandelwal,Inflection Point Ventures,500000,Pre-series A
Sugar.fit,2021,Bengaluru,Healthcare,"['Innovative', 'technology', 'compassionate', 'diabetes', 'experts']","Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture",10000000,Undisclosed
Suite42,2021,Bengaluru,Food & Beverages,"['food', 'Suite42', 'provides', 'manufacturing', 'products']","Shriram S, Rahul Ratan, Chethan S, Ramakrishna Cheruku",Sujeet Kumar and All In Capital,4300000,Seed
Sukoon,2014,Karachi,Profesional Services,"['Sukoon.com.pk', 'online', 'platform', 'Pakistan', 'connecting']","Qazi Umair, Shoaib Iqbal",Crescent Ventures and Dotzero Ventures,1500000,Seed
SUN Mobility,2017,Bengaluru,Automotive,"['Provider', 'universal', 'energy', 'infrastructure', 'services']",Chetan Maini,Vitol,50000000,Undisclosed
Sunday Design,2021,New Delhi,Manufacturing,"['Sunday', 'Design', 'offers', 'modern', 'products']",Gautam Baid,QRG Investments and Holdings and KC/LLC,2800000,seed
Sunstone,2014,Gurugram,Higher Education,"['Sunstone', 'higher', 'education', 'company', 'offers']","Ashish Munjal, Piyush Nangru",Alteria Capital and Westbridge Capital,68100000,SeriesC
Sunstone Eduversity,2011,Gurugram,EdTech,"['Sunstone', 'Eduversity', 'kind', 'business', 'school']","Ashish Munjal, Piyush Nangru",WestBridge Capital,28000000,Series B
Super Bottoms,2014,Thane,E-Commerce,"['India', 'Reusable', 'Baby', 'Diaper', 'brand']",Pallavi Tyagi,DSG Consumer Partners and Saama Capital,5500000,Series A
Super Scholar,2019,Mumbai,Education Management,"['mission', 'Indian', 'access', 'education', 'deserve']","Rohan Lodha, Priyes Bamne","MAGIC Fund, 2am VC, Astir VC",400000,Undisclosed
SuperBottoms,2015,Mumbai,Consumer Goods,"['SuperBottoms', 'born', 'personal', 'passion', 'cloth']",Pallavi Utagi,Alteria Capital,400000,Undisclosed
SuperGaming,2017,Pune,Gaming,"['SuperGaming', 'building', 'India', 'best', 'gaming']","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,Undisclosed
SuperGaming,2017,Pune,Gaming,"['SuperGaming', 'building', 'India', 'best', 'gaming']","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,Series A
SuperK,2019,Andhra Pradesh,Retail,"['SuperK', 'stack', 'solution', 'empower', 'small']",Neeraj Menta,STRIVE VC,800000,Seed
SuperK,2019,"Small Towns, Andhra",Retail,"['SuperK', 'stack', 'solution', 'empower', 'small']","Neeraj Menta, Anil Thontepu",021 Capital,5500000,Pre-Series A
SuperK,2019,"Small Towns, Andhra Pradesh",Retail,"['SuperK', 'stack', 'solution', 'empower', 'small']",Neeraj Menta,STRIVE VC,800000,Seed
